FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.122,POINT (8.230903 49.1766596),116274,Walnuss,Kapellenweg,76879,Bellheim,1x,2023-07-26 21:14:00,https://mundraub.org/node/116274
MRN_mundraub_4326_Point.123,POINT (8.236514 49.176965),116275,Walnuss,Kreuzweg,76879,Bellheim,1x,2023-07-26 21:15:00,https://mundraub.org/node/116275
MRN_mundraub_4326_Point.124,POINT (8.1630944 49.1776758),115858,Walnuss,K 1,76829,Landau in der Pfalz,Am Rastplatz zig baume,2023-07-16 12:42:00,https://mundraub.org/node/115858
MRN_mundraub_4326_Point.125,POINT (8.1624777 49.1777851),115861,Quitte,K 1,76829,Landau in der Pfalz,1x,2023-07-16 12:51:00,https://mundraub.org/node/115861
MRN_mundraub_4326_Point.126,POINT (8.1625006 49.1778219),115859,Apfel,K 1,76829,Landau in der Pfalz,Einige Äpfel Bäume,2023-07-16 12:46:00,https://mundraub.org/node/115859
MRN_mundraub_4326_Point.127,POINT (8.1624115 49.1778907),115860,Pflaume,K 1,76829,Landau in der Pfalz,2x,2023-07-16 12:48:00,https://mundraub.org/node/115860
MRN_mundraub_4326_Point.128,POINT (8.3093177 49.183494),117628,Walnuss,K 8,76771,Rülzheim,1x,2023-08-25 12:11:00,https://mundraub.org/node/117628
MRN_mundraub_4326_Point.129,POINT (8.3125827 49.1849111),117630,Walnuss,K 8,76771,Rülzheim,Viele baume,2023-08-25 13:16:00,https://mundraub.org/node/117630
MRN_mundraub_4326_Point.130,POINT (8.3104878 49.1851835),117635,Andere Kräuter,K 8,76771,Rülzheim,Heilpflanzen Königskerzen,2023-08-25 14:42:00,https://mundraub.org/node/117635
MRN_mundraub_4326_Point.131,POINT (8.3105874 49.1852592),117637,Andere Kräuter,K 8,76771,Rülzheim,Heilpflanze Schafgarbe,2023-08-25 14:49:00,https://mundraub.org/node/117637
MRN_mundraub_4326_Point.132,POINT (8.310369 49.1852721),117634,Andere Kräuter,K 8,76771,Rülzheim,Wiese mit sehr viel Wegerich,2023-08-25 14:33:00,https://mundraub.org/node/117634
MRN_mundraub_4326_Point.133,POINT (8.3120523 49.185386),117631,Apfel,K 8,76771,Rülzheim,2x,2023-08-25 13:53:00,https://mundraub.org/node/117631
MRN_mundraub_4326_Point.134,POINT (8.3104056 49.185555),117633,Kirsche,K 8,76771,Rülzheim,2X,2023-08-25 14:09:00,https://mundraub.org/node/117633
MRN_mundraub_4326_Point.135,POINT (8.3104918 49.1856884),117632,Pflaume,K 8,76771,Rülzheim,1,2023-08-25 14:04:00,https://mundraub.org/node/117632
MRN_mundraub_4326_Point.136,POINT (8.349097073078 49.197871754144),27359,Kirsche,Jungholzstraße,76726,Germersheim,Mehrere Kirschbäume. Wird von vielen gepflückt ich bin aber nicht sicher ob es auch gesetzlich erlaubt ist. :D,2016-10-03 18:34:00,https://mundraub.org/node/27359
MRN_mundraub_4326_Point.137,POINT (8.88428129892 49.197900001191),5440,Kirsche,Bräunlingsberg,74889,Sinsheim,dunkle und helle keine Herzkirschen aber lecker und auch tiefe Äste dabei,2012-06-24 16:27:00,https://mundraub.org/node/5440
MRN_mundraub_4326_Point.138,POINT (8.199749663472 49.19830987991),122907,Kirsche,Hochstadter Straße,76877,Offenbach an der Queich,kirsche,2024-05-20 20:04:00,https://mundraub.org/node/122907
MRN_mundraub_4326_Point.139,POINT (8.147209882736 49.1989173956),102723,Kirsche,Mühlweg,76829,Landau in der Pfalz,Auf dem asphaltierten Feldweg Richtung A65 auf der rechten Seite ein prächtiger Kirschbaum den ihr euch mit den Schafen teilen müsst!,2022-05-02 13:01:00,https://mundraub.org/node/102723
MRN_mundraub_4326_Point.140,POINT (8.201674818993 49.199026059719),28030,Andere Nüsse,Hochstadter Straße,76877,Offenbach an der Queich,Mandelbäume entlang des Fahradweges,2016-10-28 10:07:00,https://mundraub.org/node/28030
MRN_mundraub_4326_Point.141,POINT (8.150911331177 49.200180053711),3497,Walnuss,Queichheimer Hauptstraße,76877,Offenbach an der Queich,entlang der Queich zw. Landau und Offenbach stehen einige Walnusbäume,2011-07-21 21:07:00,https://mundraub.org/node/3497
